[2020-06-22 11:56:04,992] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-06-22 11:56:05,026] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-06-22 13:10:01,102] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-06-22 13:10:01,104] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-06-22 13:10:01,104] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-06-22 13:10:01,105] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-06-22 13:10:15,529] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-06-22 13:10:15,566] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-06-22 13:10:15,937] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-06-22 13:10:15,937] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-06-22 13:10:15,938] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-06-22 13:10:15,938] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-06-22 13:10:50,398] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-06-22 13:10:50,430] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-06-22 14:09:44,600] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-06-22 14:09:44,601] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-06-22 14:09:44,601] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-06-22 14:09:44,601] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-06-22 14:10:02,691] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-06-22 14:10:02,726] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-06-22 14:10:08,525] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-06-22 14:10:08,525] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-06-22 14:10:08,526] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-06-22 14:10:08,526] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-06-22 14:11:12,566] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-06-22 14:11:12,601] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-06-23 10:26:33,711] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-06-23 10:26:33,767] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-06-23 10:26:34,333] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-06-23 10:26:34,333] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-06-23 10:26:34,333] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-06-23 10:26:34,333] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-06-23 10:27:03,790] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-06-23 10:27:03,822] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-15 17:40:23,933] INFO Starting the log cleaner (kafka.log.LogCleaner)
